Africa	n. 非洲
assemble	v. 集合;收集
assembler	n. 汇编程序;装配工
assembly	n. 集会;与会者
assent	n. 同意\nv. 同意
assert	v. 肯定地说;主张
assertion	n. 主张
assess	v. 对...征税;进行评估
assessment	n. 估定;估价
assessor	n. 估价员;辅佐人
asset	n. 所有物;资产
asseverate	v. 郑重声明
assiduous	adj. 经常的;刻苦的
assign	n. 受让人\nv. 分配;指定
assignment	n. 分配;任务
assimilate	v. 使同化;吸收
assist	n. 帮助\nv. 帮助;促进
assistance	n. 帮助;补助
assistant	n. 助教;助手
associate	n. 伙伴;准会员\nv. 交往;联合
assorted	adj. 分类的;相配的
assortment	n. 材种;分类
assuage	v. 减轻;解...
assume	v. 呈现;承担
assumption	n. 担任;假定
assurance	n. 把握;保证
assure	v. 弄清楚;使确信
asterisk	n. 星标;星状物\nv. 加星标于
astern	adv. 向后
asteroid	adj. 海盘车的;星状的\nn. 海盘车;小行星
asthma	n. 气喘
astir	adj. 动起来;起床
astonish	v. 使惊恐;使惊讶
astray	adj. 离开正道
astride	adj. 跨着\nadv. 跨着\nprep. 跨越;在...上
astrology	n. 占星术
astronaut	n. 宇航员
astronomy	n. 天文学
astute	adj. 狡猾的;敏锐的
asylum	n. 避难;避难所
asymmetric	adj. 不对称;非对称的
at	prep. 向;在...里
atheist	n. 不敬神者;无神论者
athlete	n. 运动员
athletic	adj. 健壮的;体育的
atlas	n. 地图册;寰椎
atmosphere	n. 大气;空气;大气层
atoll	n. 环状珊瑚岛
atom	n. 微粒;原子
atomic	adj. 原子的;原子能的
atomize	v. 使分化;使粉碎
atonal	adj. 无调性的
atone	v. 赎;和解;弥补
atrocious	adj. 凶恶的;糟透的
atrocity	n. 凶恶;残暴
attach	v. 系;附属
attache	n. 随员;专员
attachment	n. 附属物;连接;喜欢
attack	n. 攻击;侵蚀\nv. 攻击
attain	v. 达到;到达
attainment	n. 成就;达到
attempt	n. 攻击;企图\nv. 企图;引诱
attend	v. 出席;侍候
attendance	n. 出席;侍候
attendant	adj. 伴随的;出席的\nn. 出席者;侍从
attention	n. 考虑;注意
attentive	adj. 关心的;殷勤的
attest	v. 证明
attic	n. 顶楼
attire	n. 服装;鹿角\nv. 使穿衣
attitude	n. 态度;姿势
attorney	n. 代理人;律师
attract	v. 偷窃;吸引
attraction	n. 吸引;吸引力
attractive	adj. 有吸引力的
attribute	n. 标志;定语\nv. 把...归因于;认为...属于
attrition	n. 磨擦;磨损
attune	v. 使合拍;协调
atypical	adj. 非典型的
aubergine	n. 茄子;紫红色
auburn	adj. 赤褐色的\nn. 赤褐色
auction	n. 叫牌;拍卖\nv. 叫牌
audacious	adj. 大胆的;鲁莽的
audible	adj. 听得见的
audience	n. 读者;观众
audio	adj. 声音的;音频的\nn. 音的播送;音频信号
audit	n. 查帐\nv. 查;旁听
audition	n. 面试;听;试唱\nv. 试演
auditorium	n. 会堂;听众席
auditory	adj. 听的
augment	n. 扩大;增音\nv. 补充;扩大
augur	n. 预言者;占卜官\nv. 预示;预言
augury	n. 预兆;占卜
august	adj. 威严的
aunt	n. 阿姨;伯母
aura	n. 光环;气氛
aural	adj. 光环的;耳的;听觉的
auricle	n. 耳廓;心房
auspices	n. 赞助
auspicious	adj. 吉利的;兴隆的
austere	adj. 简朴的
authentic	adj. 可靠的;真的
author	n. 发起人;著作者\nv. 发起;著作
authority	n. 当局;权
authorize	v. 批准;授权
auto	n. 汽车
autobahn	n. 高速公路
autocracy	n. 独裁统治
autocrat	n. 独裁者
autocue	n. 电子提示机
autograph	n. 亲笔;亲笔稿\nv. 亲笔书写
autoimmune	adj. 自身免疫的
automat	n. 自动售货机
automate	v. 使自动化;自动化
automatic	adj. 必然的;自动的\nn. 自动机械;自动手枪
automation	n. 自动操作;自动化
automobile	n. 汽车\nv. 乘汽车
automotive	adj. 汽车的
autonomous	adj. 自治的
autonomy	n. 人身自由;自治
autopilot	n. 自动驾驶仪
autopsy	n. 分析;亲自勘察\nv. 解剖
autoroute	n. 高速公路
autumn	n. 成熟期;秋
auxiliary	adj. 备用的;辅助的\nn. 辅助者;机帆船
avail	n. 利润;效用\nv. 有用于;有用
available	adj. 可获得的;在手边的
avalanche	n. 大量;雪崩\nv. 把...淹没;崩塌
avarice	n. 贪婪
avenge	v. 报仇
avenue	n. 大街;小路
aver	v. 断言;证明...属实
average	adj. 平均的;中等的\nn. 平均分数;平均数\nv. 平均做;平均为
averse	adj. 反对的
aversion	n. 讨厌的人;厌恶
aversive	adj. 厌恶的
avert	v. 挡开;转移
aviation	n. 航空;航空学
avid	adj. 渴望的
avionics	n. 航空电子学
avocation	n. 副业;消遣
avoid	v. 避开;避免
avow	v. 坦率承认
await	v. 等候;侍候
awake	adj. 警觉的;醒着的\nv. 唤起;醒
awaken	v. 唤起;醒
award	n. 奖;判决\nv. 判给;授予
aware	adj. 懂事的;意识到的
awareness	n. 意识到
away	adv. 走吧;走开
awe	n. 敬畏;恐惧\nv. 使敬畏
awful	adj. 使人畏惧的\nadv. 十分
awhile	adv. 片刻
awkward	adj. 笨拙的;不雅观的
awl	n. 钻子
awn	n. 芒
awoke	awake的过去式
awry	adj. 曲\nadv. 曲
axe	n. 斧;战斧\nv. 解雇;用斧砍断
axial	adj. 成轴的;轴的
axiom	n. 格言;公理
axiomatic	adj. 格言的;公理的
axis	n. 枢椎;轴
axle	n. 轴
aye	adv. 明白;是\nn. 肯定的回答
azimuth	n. 方位;方位角
azure	adj. 青色的;无云的\nn. 碧空;钴蓝
baa	n. 咩\nv. 发咩声
babble	n. 儿语;胡言乱语\nv. 说蠢话;吐露秘密
babe	n. 宝贝儿;婴儿
baboon	n. 丑陋的人;狒狒
baby	n. 婴儿;幼畜\nv. 轻击
babyhood	n. 婴儿期
bachelor	n. 单身男子;学士
back	adj. 背后的;边远的\nadv. 往回;向后\nn. 背;缸\nv. 使后退;后退
backache	n. 腰背酸痛
backbite	v. 背后说坏话
backbone	n. 脊骨;主脊;主要成分
backer	n. 赞助人;支持者
backfire	n. 逆火;迎火\nv. 发生逆火;发生意外
background	n. 底子;后景
backhander	n. 转弯抹角的攻击
backpedal	v. 出尔反尔;后退躲开
backside	n. 后侧;屁股
backslide	v. 堕落
backstreet	n. 穷街小巷
backstroke	n. 回击;仰泳
backtrack	v. 后退;取消
backup	n. 背衬;候补者;倒车
backward	adj. 向后的
backwards	adv. 往回;向后
backwash	n. 反流;激流区
backwater	n. 回水;死水
backwoods	n. 边远蛮荒林区
backyard	n. 后院
bacon	n. 熏咸肉;赃物
bad	adj. 坏的;顽皮的
badge	n. 标记;徽章
badly	adv. 坏;顽皮地
badminton	n. 羽毛球运动
baffle	n. 困惑\nv. 使困惑;使受挫折
bag	n. 袋;猎袋\nv. 猎获;收割
baggage	n. 包袱;行李
baggy	adj. 袋装的;鼓出的
bail	n. 保释;戽斗\nv. 保释;托付
bailiff	n. 法警;管家
bait	n. 打尖;饵\nv. 引诱;装饵于
baize	n. 台面呢
bake	n. 烘;烤餐会\nv. 烘;晒热
bakelite	n. 酚醛塑料
baker	n. 面包师傅;轻便烘炉
balance	n. 平衡轮;天平\nv. 称;权衡
balcony	n. 阳台
bald	adj. 明显的;秃头的\nv. 成为秃顶
balderdash	n. 胡言乱语
bale	n. 大包;悲愁\nv. 把...打成大包
balk	n. 挫折;埂\nv. 错过;阻止
ball	n. 球;舞会\nv. 交媾;狂欢
ballad	n. 叙事诗歌;歌谣
ballast	n. 压舱物;镇重物\nv. 给...铺道渣;使稳定
ballerina	n. 软底低跟女便鞋;女芭蕾舞演员
ballet	n. 芭蕾舞;芭蕾舞团
ballistics	n. 弹道特性;弹道学
balloon	n. 气球;气球形物\nv. 大大增加
ballot	n. 投票表决;投票权\nv. 抽签选拔;投票
ballyhoo	n. 大吹大擂;喧闹\nv. 大吹大擂
balm	n. 安慰;香膏;香油
balmy	adj. 芬芳的;温和的
balsam	n. 香膏;香脂
balustrade	n. 矮护墙;栏杆
bamboo	adj. 疯狂的;竹的\nn. 竹;竹竿
bamboozle	v. 迷惑;欺骗
ban	n. 禁止;谴责\nv. 禁止;诅咒
banana	n. 香蕉;香蕉味
band	n. 群;箍\nv. 聚集
bandage	n. 绷带;带子\nv. 用绷带扎缚
bandit	n. 歹徒;强盗
bandwagon	n. 得势派;乐队彩车
bandwidth	n. 带宽
bandy	adj. 向外弯的
bane	n. 毒药;灾害;祸根\nv. 危害
bang	adv. 砰;砰然\nn. 轰声;巨响\nv. 奔;猛击
bangle	n. 手镯
banish	v. 放逐;开除
banisters	n. 栏杆
banjo	n. 班卓琴;铲子
bank	n. 岸;堆\nv. 开银行;做庄家
bankbook	n. 银行存折
banker	n. 庄家;坐庄;银行家
bankrupt	adj. 破产的\nn. 破产者\nv. 使枯竭;使破产
bankruptcy	n. 彻底失败;破产
bannal	n. 陈旧;平庸
banner	adj. 显著的\nn. 横幅;旗
banns	n. 结婚公告
banquet	n. 宴会\nv. 设宴款待;赴宴
bantam	adj. 青少年的;轻的\nn. 矮脚鸡
banter	n. 取笑\nv. 欺骗;取笑
baptism	n. 浸礼;洗礼
baptize	v. 为...命名;施浸礼
bar	n. 条;闩\nprep. 除...外\nv. 关;闩
barb	n. 倒钩;非洲马\nv. 在...装倒钩;刈
barbarian	adj. 不文明的;异邦的\nn. 未开化的人
barbarity	n. 野蛮;野蛮行为
barbarous	adj. 残暴的;粗野的
barbecue	n. 烤全牲;烤肉\nv. 烤炙;整烤
barber	n. 理发师\nv. 剪短;饶舌
bare	adj. 赤裸的;光秃的\nv. 揭露;使赤裸
barefaced	adj. 厚颜无耻的
barely	adv. 公开地;仅仅
bargain	n. 交易;协定\nv. 用...交换;讲价
barge	n. 专用艇\nv. 闯出;专撞
baritone	adj. 男中音的\nn. 男中音
barium	n. 钡
bark	n. 树皮;吠声\nv. 吠;咳嗽
barley	n. 大麦
barmaid	n. 酒吧间女招待
barman	n. 酒吧间男招待
barn	n. 谷仓;靶
barnacle	n. 难以摆脱的人;藤壶
barometer	n. 气压表;晴雨表
baron	n. 贵族;男爵;巨商
baronet	n. 准男爵
barque	n. 吠叫
barrack	n. 棚屋;营房\nv. 大声鼓噪
barrage	n. 复赛;火力网;拦河坝\nv. 开火
barred	adj. 被禁止的;上了闩的
barrel	n. 桶;圆筒\nv. 把...装桶;装枪管于
barren	adj. 不育的;贫瘠的\nn. 瘠地
barricade	n. 路障;栅栏\nv. 使躲在路障后面
barrier	n. 界线;障碍
barrister	n. 律师;专门律师
barrow	n. 坟;手推车
barter	n. 易货贸货\nv. 讨价还价
base	adj. 基础的;卑劣的\nn. 基;基础\nv. 驻扎;作...的基础
baseball	n. 棒球;棒球运动
baseline	n. 底线;基线
basement	n. 地下室;墙根
bash	n. 尝试;猛击\nv. 猛击;当妓女
bashful	adj. 局促不安的
basic	adj. 基础的;碱的\nn. 基本训练;基本原理
basin	n. 菜盆;盆
basis	n. 基础;主要部分
bask	v. 感到舒适;晒太阳
basket	n. 篮;篮状物
basketball	n. 篮球;篮球运动
bass	adj. 低沉的;低音的\nn. 椴树
bassinet	n. 婴儿摇篮
bassoon	n. 低音管;巴松
bastard	adj. 私生的;野种的\nn. 劣等货;杂种
bastardize	v. 变低劣
baste	v. 狠揍;痛斥
bastion	n. 堡垒;棱堡
bat	n. 短棍;球棒;蝙蝠\nv. 行进;眨
batch	n. 一批\nv. 分批收集;量出
bated	adj. 变弱的
bath	n. 浴;浴水
bathe	n. 游泳\nv. 浸洗;沉浸
bathrobe	n. 浴衣
bathroom	n. 厕所间;浴室
baton	n. 短棍;官杖
battalion	n. 队伍;营
batten	n. 板条;箝座\nv. 养肥;长肥
batter	n. 面糊;倾斜\nv. 捣毁;磨损
battery	n. 连续猛击;炮台
battle	n. 格斗;竞赛\nv. 搏斗;作战
battlement	n. 雉堞
batty	adj. 蝙蝠的
bauble	n. 笨伯杖;小玩具;廉价珠宝
baulk	n. 错误\nv. 阻止;犹豫不前
bauxite	n. 铝土岩
bawdy	adj. 淫秽的\nn. 猥亵的语言
bawl	n. 大叫声;号哭\nv. 大声叫出;叫卖
bay	adj. 枣红色的\nn. 湾;坝\nv. 对...吠叫;大声叫嚷
bayonet	n. 刺刀;卡钉\nv. 用刺刀刺;用刺刀
bazaar	n. 街市;市场
be	v. 表示;是
beach	n. 海滩;湖滨\nv. 把...拖上岸;上岸
beacon	n. 灯塔;烽火\nv. 照亮
bead	n. 小滴;小珠\nv. 结珠
beak	n. 喙
beaker	n. 大口酒怀;烧杯
beam	n. 杆;梁\nv. 用...照射;照耀
bean	n. 豆;嘴峰\nv. 击...的头部
bear	n. 玩具熊;熊\nv. 忍;压
beard	n. 胡须;芒\nv. 公然反对;充当掩护
bearer	n. 持票人;带信的
bearish	adj. 悲观的
beast	n. 动物;畜生
beat	adj. 筋疲力尽的\nn. 跳动\nv. 打;拍打
beatific	adj. 赐福的;至福的
beatnik	n. 垮掉的一代一员
beautician	n. 美容师
beautiful	adj. 出色的;美的
beautify	v. 使美起来;变得美
beauty	n. 美;美人
beaver	n. 海狸毛皮;河狐\nv. 努力工作
becalmed	adj. 因无风而停驶的
because	conj. 因为
beck	n. 点头;鞠躬\nv. 向...示意;示意
beckon	n. 点头\nv. 吸引;示意
become	v. 适合;变成
bed	n. 床;卧室\nv. 睡;性交
bedevil	v. 使着魔;折磨
bedlam	adj. 疯人院的\nn. 疯子;混乱
bedraggle	v. 使显得蓬头垢面
bedridden	adj. 累坏的
bedrock	n. 基础;基岩
bedroom	n. 卧铺单间;卧室
bedside	n. 床旁
bedspread	n. 床罩
bedtime	n. 上床时间
bee	n. 蜂;聚会
beef	n. 菜牛;牛肉\nv. 击倒;养
beefsteak	n. 牛排;下等娼妓
beefy	adj. 粗壮的;多肉的
beehive	adj. 圆锥形蜂窝状的\nn. 蜂箱
beeline	n. 笔直线\nv. 笔直地移动
beeper	n. 遥控员
beer	n. 啤酒;汽水
beeswax	n. 蜂蜡;黄蜡
beet	n. 甜菜;甜菜根
beetle	n. 甲虫;大槌\nv. 飞走;捶
befall	v. 降临于;发生
befit	v. 适合于
before	adv. 较早;以前\nprep. 在...前面;在...以前\nconj. 不愿...;在...以前
beforehand	adv. 预先;提前地
befriend	v. 扶助
befuddle	v. 使糊涂;使烂醉
beg	v. 恳求;请
beget	v. 产生;生
beggar	n. 家伙;乞丐
begin	v. 开始
beginner	n. 初学者;创始人
begone	v. 走开
begrudge	v. 妒忌
beguile	v. 给...娱乐;欺骗
behalf	n. 利益
behave	v. 表现;运转
behaviour	n. 态度;行为
behind	adv. 在背后;在过去\nn. 后卫;屁股\nprep. 落后于;在...后面
behold	v. 看;注视
beholden	adj. 依赖的
beige	adj. 米黄色的
belabour	v. 反复研究;痛打\nn. 罗嗦
belated	adj. 过时的;延误的
belch	n. 牢骚;喷吐\nv. 吐出;嗳
belie	v. 辜负;掩饰
belief	n. 相信;信念
believe	v. 认为;想
belittle	v. 轻视
bell	n. 钟;钟声\nv. 鸣钟;吼叫
bellboy	n. 青年侍者
bellicose	adj. 好战的
bellow	n. 吼叫声;吼声\nv. 吼叫;怒吼
belly	n. 腹;腹腔\nv. 使鼓起;鼓起
bellyache	n. 抱怨;肚子痛\nv. 嘀咕着抱怨
bellyful	n. 过量;一肚子
belong	v. 合适;属
beloved	adj. 受爱戴的;所钟爱的\nn. 心爱的人
below	adv. 在楼下;在下面\nprep. 低于;在...下面
belt	n. 带;腰带\nv. 飞驶;猛击
bemoan	v. 哀悼;悲叹
bench	n. 长凳;法官席\nv. 给...以席位;当法官
bend	n. 弯曲;绑结\nv. 挽;俯身
beneath	adv. 在较低处;在下\nprep. 在...底下;在...下方
benefactor	n. 捐助人
beneficent	adj. 效果好的;行善的
beneficial	adj. 有益的
benefit	n. 义演;益处\nv. 有益于;得益
benevolent	adj. 善意的;行善的
benighted	adj. 愚昧无知的;落后的
benign	adj. 善良的;有利的
benumb	v. 使呆滞;使僵冷
benzene	n. 苯
bequeath	v. 传下;托付
bequest	n. 遗赠;遗赠物
berate	v. 痛斥
bereave	v. 抢走;使丧失
beret	n. 贝雷帽
berk	n. 傻瓜
berry	n. 浆果;卵
berserk	adj. 狂暴的\nadv. 疯狂地
berth	n. 船台;锚地\nv. 停泊;占铺位
beryl	n. 绿柱石;浅蓝
beseech	v. 恳求;乞求
beside	prep. 和...相比;在...旁边
besides	adv. 此外;而且\nprep. 除...之外
besiege	v. 围困;拥有...周围
besmirch	v. 弄脏;玷污
besotted	adj. 痴迷的
bespeak	v. 订;证明
bespoke	adj. 定做的;已订婚的
bestial	adj. 兽性的;兽欲的
bestir	v. 使发奋
bestow	v. 嫁;用;给予
bestrew	v. 撒;散布在
bet	n. 打赌;赌金\nv. 敢说;打赌
beta	adj. 第二位的\nn. β星;第二个
betake	v. 使前往;使致力于
betide	v. 预示;发生
betimes	adv. 不久;早
betray	v. 背叛;泄露
betroth	v. 把...许配给;与...订婚
better	adv. 多;更好地\nv. 超过;改善\ngood的比较级
between	adv. 在中间\nprep. 联接着...;在...之间
bevel	adj. 成斜面的\nn. 斜角规;斜面\nv. 成斜面
beverage	n. 饮料
bevy	n. 一队;一批
bewail	v. 抱怨;痛哭
beware	v. 注意;当心
bewilder	v. 使迷惑;使迷路
bewitch	v. 施魔力于;使着迷
beyond	prep. 迟于;深于
biannual	adj. 一年两次的
bias	n. 偏见;倾向\nv. 加偏压于;使有偏见
biceps	n. 二头肌;膂力
bicker	v. 急流;争吵
bicycle	n. 自行车\nv. 骑自行车
bide	v. 等待;面临
biennial	adj. 两年生的\nn. 每两年发生一次的事
bier	n. 坟墓;棺材
bifocals	n. 双光眼镜
big	adj. 大的;洪亮的\nadv. 成功地;大量地
bigamy	n. 重婚
bigwig	n. 要人
bike	n. 巢;群\nv. 骑自行车;蜂拥
bikini	n. 大爆炸;比基尼泳装
bilateral	adj. 两边的;双方的
bile	n. 胆汁;坏脾气
bilge	n. 舱底水;底舱\nv. 搁浅;膨胀
bilingual	adj. 熟谙两种语言的\nn. 能说两种语言的人
bill	n. 清单;帐单\nv. 爱抚;接吻
billboard	n. 告示牌;锚座
billet	n. 钢坯;木柴\nv. 委派;投宿
billfold	n. 皮夹子
billiard	adj. 台球的\nn. 连撞两球所得的分数
billion	n. 十亿;大量
billow	n. 巨浪\nv. 翻腾;鼓起
bimonthly	adj. 一月两次的\nadv. 一月两次地\nn. 双月刊
bin	n. 帆布袋;容器\nv. 把...放入箱中
binary	adj. 二进制的;二元的\nn. 二进制数
bind	n. 括线\nv. 捆绑;束
binder	n. 装订工;装订机
binoculars	n. 双筒望远镜
binomial	adj. 二项式的;双名的\nn. 二项式;双名
biographer	n. 传记作者
biography	n. 传记;形成
biological	adj. 生物的;生物学的
biology	n. 生物;生物学
bionics	n. 仿生学
biped	adj. 有二足的\nn. 二足动物
biplane	n. 双翼机
bird	n. 鸟;幼鸟
biro	n. 伯罗;圆珠笔
birth	n. 出生;分娩\nv. 产生;生
birthday	n. 出生的日子
birthplace	n. 出生地;发源的
birthrate	n. 出生率
biscuit	n. 饼干;淡褐色
bisect	v. 与...交叉;一分为二
bishop	n. 象;主教
bison	n. 野牛
bistro	n. 酒吧间;小酒店
bitch	n. 母狗;怨言\nv. 抱怨;弄坏
bite	n. 咬;咬的伤痕\nv. 刺穿;咬
bitter	adj. 有苦味的\nn. 苦;苦味
bitterness	n. 苦味
bitumen	n. 柏油路;沥青
biweekly	adj. 每周两次的\nadv. 每周两次地\nn. 双周刊
bizarre	adj. 奇形怪状的\nn. 怪异花
blab	n. 乱说\nv. 泄漏;喋喋不休
black	adj. 黑暗的;黑色的\nn. 黑色\nv. 变黑
blackboard	n. 黑板
blacken	v. 破坏;变黑
blackguard	n. 无赖\nv. 骂...为无赖;耍无赖
blackleg	n. 黑腿病;骗子\nv. 出卖
blacklist	n. 黑名单\nv. 把...列入黑名单
blackmail	n. 敲诈\nv. 敲诈;胁迫
blackout	n. 灯火管制;断电
blacksmith	n. 铁匠
bladder	n. 膀胱;囊
blade	n. 前舌;叶片
blah	n. 空话
blame	n. 责任;指责\nv. 指责;诅咒
blanch	v. 变白;退缩
blancmange	n. 牛奶冻
bland	adj. 和蔼的;无味道的
blank	adj. 空白的;空的\nn. 空白\nv. 除去;消失
blanket	n. 床毯;盖毯\nv. 通用于;掩盖
blare	n. 大吹大擂;嘟嘟声\nv. 耀眼地发;发嘟嘟声
blarney	n. 奉承话;胡扯\nv. 奉承
blaspheme	v. 诽谤;亵渎
blast	n. 吹奏;鼓风;疾风\nv. 炸;开枪
blatant	adj. 无耻的
blaze	n. 光辉;火焰\nv. 发光;炫耀
blazer	n. 传播者;燃烧体;运动衣
blazon	n. 描绘;纹章\nv. 宣布;装饰
bleach	n. 漂白;漂白度\nv. 晒白;消除
bleak	adj. 无遮蔽的;阴冷的
bleary	adj. 轮廓不清的
bleat	n. 羊的叫声\nv. 胡扯;抱怨
bleed	v. 抽干;出血
blemish	n. 疤;暇疵\nv. 使有疤
